id,year,type_of_violence,conflict_name,dyad_name,side_a,side_b,country,region,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,where_coordinates,latitude,longitude,preliminary
90977,1990,1,India: Kashmir,Government of India - Kashmir insurgents,Government of India,Kashmir insurgents,India,Asia,1990-06-29,1990-06-29,1,0,0,0,1,1,1,Srinagar town,34.080399,74.823383,
90993,1990,1,India: Kashmir,Government of India - Kashmir insurgents,Government of India,Kashmir insurgents,India,Asia,1990-07-01,1990-07-01,4,0,0,0,4,4,4,Srinagar town,34.080399,74.823383,
89569,1990,3,Government of India - Civilians,Government of India - Civilians,Government of India,Civilians,India,Asia,1990-07-05,1990-07-07,0,0,0,0,0,1,0,Baramulla district,34.192870,74.369200,
84393,1990,3,Kashmir insurgents - Civilians,Kashmir insurgents - Civilians,Kashmir insurgents,Civilians,India,Asia,1990-07-06,1990-07-06,0,0,2,0,2,2,2,Srinagar district,34.083330,74.833330,
84655,1990,3,Kashmir insurgents - Civilians,Kashmir insurgents - Civilians,Kashmir insurgents,Civilians,India,Asia,1990-07-06,1990-07-06,0,0,1,0,1,1,1,Kupwara town,34.463608,74.197139,
85066,1990,3,Kashmir insurgents - Civilians,Kashmir insurgents - Civilians,Kashmir insurgents,Civilians,India,Asia,1990-07-06,1990-07-08,0,0,1,0,1,1,1,Jammu and Kashmir state,33.916670,76.666670,
89570,1990,3,Government of India - Civilians,Government of India - Civilians,Government of India,Civilians,India,Asia,1990-07-06,1990-07-06,0,0,1,0,1,1,1,Srinagar town,34.080399,74.823383,
90995,1990,1,India: Kashmir,Government of India - Kashmir insurgents,Government of India,Kashmir insurgents,India,Asia,1990-07-06,1990-07-06,0,0,0,4,4,4,4,Jammu and Kashmir state,33.916670,76.666670,
90994,1990,1,India: Kashmir,Government of India - Kashmir insurgents,Government of India,Kashmir insurgents,India,Asia,1990-07-07,1990-07-08,3,0,0,0,3,4,3,Jammu and Kashmir state,33.916670,76.666670,
86360,1990,1,India: Punjab/Khalistan,Government of India - Sikh insurgents,Government of India,Sikh insurgents,India,Asia,1990-07-08,1990-07-08,1,0,0,0,1,1,1,Batala town,31.809355,75.217601,
